iter	Passed	Remaining
0	0	97
1	1	90
2	2	86
3	3	82
4	4	79
5	4	75
6	5	73
7	6	71
8	6	70
9	7	68
10	8	67
11	9	66
12	9	64
13	10	65
14	11	66
15	12	65
16	13	65
17	14	64
18	14	63
19	15	63
20	16	62
21	17	61
22	18	61
23	19	60
24	19	59
25	20	58
26	21	58
27	22	57
28	23	56
29	23	55
30	25	55
31	26	55
32	27	55
33	28	54
34	29	54
35	29	53
36	30	52
37	31	51
38	32	51
39	33	50
40	34	49
41	35	49
42	36	48
43	36	47
44	37	46
45	38	45
46	39	44
47	40	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	51	34
60	52	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	29
66	57	28
67	58	27
68	58	26
69	59	25
70	60	24
71	61	24
72	62	23
73	63	22
74	64	21
75	65	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	78	5
93	79	5
94	80	4
95	81	3
96	82	2
97	82	1
98	83	0
99	84	0
